time_s,imu_f_ax,imu_f_ay,imu_f_az,imu_f_gx,imu_f_gy,imu_f_gz,imu_p_ax,imu_p_ay,imu_p_az,imu_p_gx,imu_p_gy,imu_p_gz,frame_pitch,frame_roll,frame_yaw,pay_pitch,pay_roll,pay_yaw,rel_pitch,rel_roll,p_err,t_vel_p,ff_pitch,cam_pr,vel_err_p,vq_pitch,r_err,t_vel_r,ff_roll,cam_rr,vel_err_r,vq_roll,elec_p,elec_r,off_p,off_r
0.0000,0.136,-0.306,10.178,-0.12,0.13,-0.07,-2.896,4.717,-8.102,12.48,8.54,-3.78,-0.589,0.385,-0.036,-18.095,31.141,-1.128,-17.452,30.622,18.095,0.632,0.0,0.149,0.483,0.048,-31.141,-1.361,-0.0,-0.218,-1.143,-0.137,0.012,6.27,4.139,3.755
0.0287,0.603,0.369,9.462,0.03,-0.78,-0.02,-3.153,4.776,-7.866,17.65,0.25,-5.95,-0.606,0.414,-0.036,-18.176,30.754,-0.939,-17.515,30.208,18.176,0.635,-0.0,0.004,0.63,0.063,-30.754,-1.346,0.0,-0.308,-1.038,-0.125,0.005,6.219,4.139,3.755
0.0868,0.129,0.041,10.156,-0.03,-0.63,-0.2,-3.223,4.5,-7.898,28.29,-20.76,-7.72,-0.675,0.401,-0.034,-18.797,29.81,-0.881,-18.064,29.278,18.797,0.656,-0.0,-0.362,1.019,0.102,-29.81,-1.309,-0.0,-0.494,-0.815,-0.099,6.221,6.105,4.139,3.755
0.1159,0.124,0.242,10.135,-0.0,-0.03,-0.14,-3.461,4.219,-8.248,40.38,-29.0,-13.78,-0.678,0.411,-0.037,-19.431,28.989,-0.868,-18.693,28.447,19.431,0.679,-0.0,-0.506,1.185,0.119,-28.989,-1.275,-0.0,-0.705,-0.571,-0.069,6.144,6.004,4.139,3.755
0.1159,0.124,0.242,10.135,-0.0,-0.03,-0.14,-3.461,4.219,-8.248,40.38,-29.0,-13.78,-0.678,0.411,-0.037,-19.431,28.989,-0.868,-18.693,28.447,19.431,0.679,-0.0,-0.506,1.185,0.119,-28.989,-1.275,-0.0,-0.705,-0.571,-0.069,6.144,6.004,4.139,3.755
0.1752,0.163,0.002,9.881,-0.12,-0.19,0.15,-3.603,3.888,-8.169,74.42,-48.47,-28.72,-0.718,0.399,-0.029,-21.655,26.297,-0.803,-20.869,25.769,21.655,0.756,-0.0,-0.846,1.602,0.162,-26.297,-1.162,-0.0,-1.299,0.137,0.015,5.878,5.677,4.139,3.755
0.1752,0.163,0.002,9.881,-0.12,-0.19,0.15,-3.603,3.888,-8.169,74.42,-48.47,-28.72,-0.718,0.399,-0.029,-21.655,26.297,-0.803,-20.869,25.769,21.655,0.756,-0.0,-0.846,1.602,0.162,-26.297,-1.162,-0.0,-1.299,0.137,0.015,5.878,5.677,4.139,3.755
0.2055,0.036,0.168,10.092,0.07,-0.15,-0.33,-3.078,3.681,-8.215,76.87,-13.6,-30.97,-0.698,0.418,-0.034,-22.285,24.552,-0.383,-21.513,24.013,22.285,0.778,-0.0,-0.237,1.016,0.103,-24.552,-1.087,0.0,-1.342,0.254,0.03,5.799,5.462,4.139,3.755
0.2610,0.017,0.11,10.017,-0.1,0.21,0.38,-3.253,3.311,-8.39,44.8,59.56,-21.75,-0.689,0.426,-0.035,-21.906,22.9,0.454,-21.138,22.37,21.906,0.765,0.0,0.659,0.107,0.012,-22.9,-1.017,-0.0,-1.048,0.031,0.003,5.845,5.261,4.139,3.755
0.2610,0.017,0.11,10.017,-0.1,0.21,0.38,-3.253,3.311,-8.39,44.8,59.56,-21.75,-0.658,0.431,-0.027,-20.971,21.581,1.352,-20.231,21.065,20.971,0.733,0.0,1.04,-0.307,-0.029,-21.581,-0.961,-0.0,-0.782,-0.179,-0.022,5.956,5.102,4.139,3.755
