time_s,imu_f_ax,imu_f_ay,imu_f_az,imu_f_gx,imu_f_gy,imu_f_gz,imu_p_ax,imu_p_ay,imu_p_az,imu_p_gx,imu_p_gy,imu_p_gz,frame_pitch,frame_roll,frame_yaw,pay_pitch,pay_roll,pay_yaw,rel_pitch,rel_roll,p_err,t_vel_p,ff_pitch,cam_pr,vel_err_p,vq_pitch,r_err,t_vel_r,ff_roll,cam_rr,vel_err_r,vq_roll,elec_p,elec_r,off_p,off_r
0.2906,-0.077,0.024,10.041,-0.06,-0.03,-0.09,-3.47,3.078,-8.481,30.1,66.59,-13.1,-0.626,0.422,-0.026,-19.847,20.609,2.103,-19.138,20.118,19.847,0.694,-0.0,1.162,-0.469,-0.045,-20.609,-0.92,-0.0,-0.525,-0.395,-0.048,6.089,4.986,4.139,3.755
0.3225,0.28,0.086,10.087,0.03,-0.5,-0.11,-3.308,2.929,-8.655,13.47,52.07,-6.04,-0.649,0.424,-0.031,-18.818,20.043,2.605,-18.087,19.561,18.818,0.658,-0.0,0.909,-0.251,-0.024,-20.043,-0.897,0.0,-0.235,-0.662,-0.081,6.218,4.918,4.139,3.755
0.3492,0.115,0.05,10.185,-0.06,0.39,0.3,-3.766,2.771,-8.826,2.32,3.4,-2.4,-0.67,0.421,-0.027,-18.559,19.838,2.715,-17.808,19.363,18.559,0.649,0.0,0.059,0.589,0.061,-19.838,-0.889,-0.0,-0.041,-0.849,-0.103,6.252,4.894,4.139,3.755
0.3776,0.043,-0.091,10.111,-0.08,-0.22,-0.12,-4.256,2.619,-8.859,6.13,-73.98,0.11,-0.671,0.389,-0.024,-19.733,19.794,2.259,-18.98,19.344,19.733,0.69,-0.0,-1.291,1.981,0.2,-19.794,-0.889,-0.0,-0.107,-0.782,-0.095,6.109,4.892,4.139,3.755
0.4074,0.326,0.0,10.106,0.05,-0.54,-0.26,-4.754,2.401,-8.848,18.61,-178.92,0.31,-0.728,0.367,-0.029,-22.837,19.756,1.109,-22.023,19.307,22.837,0.798,-0.0,-3.123,3.921,0.395,-19.756,-0.888,0.0,-0.325,-0.564,-0.069,5.737,4.887,4.139,3.755
0.4386,-0.012,0.254,9.761,0.02,-0.17,-0.04,-2.076,2.264,-8.289,21.93,-99.5,-5.61,-0.712,0.381,-0.029,-25.253,19.526,0.189,-24.451,19.04,25.253,0.883,-0.0,-1.737,2.619,0.265,-19.526,-0.88,0.0,-0.383,-0.497,-0.061,5.44,4.855,4.139,3.755
0.4671,0.383,-0.16,10.233,0.31,-1.61,-0.8,-1.672,2.89,-9.57,12.61,69.73,-9.29,-0.733,0.378,-0.046,-23.889,18.879,0.711,-23.068,18.412,23.889,0.835,-0.0,1.217,-0.382,-0.035,-18.879,-0.853,0.0,-0.22,-0.633,-0.078,5.609,4.778,4.139,3.755
0.4935,0.306,0.366,10.02,-0.25,1.53,0.33,-3.317,2.428,-7.669,-6.82,133.56,-4.89,-0.829,0.411,-0.037,-21.532,18.54,1.618,-20.618,18.063,21.532,0.753,0.0,2.331,-1.578,-0.155,-18.54,-0.839,-0.0,0.119,-0.958,-0.117,5.909,4.735,4.139,3.755
0.5221,-0.546,0.306,9.948,-0.02,-0.14,-0.01,-2.131,2.551,-9.723,-21.12,215.35,1.47,-0.635,0.421,-0.02,-17.745,18.357,2.9,-17.03,17.889,17.745,0.621,-0.0,3.759,-3.138,-0.311,-18.357,-0.833,-0.0,0.369,-1.201,-0.146,0.064,4.714,4.139,3.755
0.5508,0.69,0.122,10.027,0.05,-0.73,-0.75,-2.917,2.699,-10.332,-18.55,252.35,-4.42,-0.69,0.445,-0.041,-12.696,18.195,4.491,-11.932,17.737,12.696,0.445,-0.0,4.404,-3.96,-0.394,-18.195,-0.827,0.0,0.324,-1.15,-0.141,0.687,4.696,4.139,3.755
0.6103,-1.259,0.373,9.807,-0.01,1.34,-0.49,-2.725,2.879,-11.303,10.3,-99.71,5.06,-0.502,0.479,-0.002,-14.892,18.428,3.836,-14.31,17.908,14.892,0.521,0.0,-1.74,2.262,0.228,-18.428,-0.84,-0.0,-0.18,-0.66,-0.082,0.396,4.716,4.139,3.755
0.6103,-1.259,0.373,9.807,-0.01,1.34,-0.49,-2.725,2.879,-11.303,10.3,-99.71,5.06,-0.502,0.479,-0.002,-14.892,18.428,3.836,-14.31,17.908,14.892,0.521,0.0,-1.74,2.262,0.228,-18.428,-0.84,-0.0,-0.18,-0.66,-0.082,0.396,4.716,4.139,3.755
0.6381,1.116,0.086,10.398,0.66,-3.25,-1.37,-3.508,2.599,-8.521,25.61,-209.09,1.12,-0.709,0.444,-0.048,-18.201,18.272,2.45,-17.412,17.777,18.201,0.637,-0.0,-3.649,4.286,0.431,-18.272,-0.834,0.0,-0.447,-0.387,-0.049,0.017,4.7,4.139,3.755
0.6710,-0.268,-0.093,10.221,-0.59,2.63,1.45,-6.463,1.766,-9.282,23.9,-247.92,4.79,-0.79,0.449,-0.032,-23.515,18.195,0.719,-22.638,17.656,23.515,0.822,0.0,-4.327,5.149,0.519,-18.195,-0.832,-0.0,-0.417,-0.415,-0.053,5.662,4.686,4.139,3.755
0.7004,-1.109,0.256,9.448,0.33,-0.59,-1.29,3.758,2.693,-9.602,28.1,-67.35,-7.59,-0.442,0.488,-0.034,-25.465,17.9,-0.205,-24.934,17.296,25.465,0.891,-0.0,-1.175,2.066,0.211,-17.9,-0.82,0.0,-0.49,-0.33,-0.043,5.381,4.642,4.139,3.755
0.7269,1.836,-0.46,10.415,0.75,-4.91,0.51,-2.193,2.914,-9.125,15.29,156.62,-15.36,-0.884,0.42,-0.064,-21.985,16.992,1.064,-21.019,16.502,21.985,0.769,-0.0,2.734,-1.964,-0.192,-16.992,-0.782,0.0,-0.267,-0.515,-0.065,5.86,4.545,4.139,3.755
0.7540,0.156,0.498,9.752,-0.83,4.29,0.73,-4.553,1.705,-7.641,-29.9,252.35,-5.33,-0.929,0.526,-0.055,-18.135,16.804,2.517,-17.122,16.241,18.135,0.635,0.0,4.404,-3.769,-0.373,-16.804,-0.775,-0.0,0.522,-1.297,-0.159,0.053,4.513,4.139,3.755
0.8129,1.018,-0.148,9.876,-0.38,-0.21,2.11,-9.34,2.024,-6.262,-27.65,36.16,-6.33,-0.874,0.418,-0.009,-11.497,17.521,4.724,-10.554,17.112,11.497,0.403,-0.0,0.631,-0.228,-0.02,-17.521,-0.809,-0.0,0.483,-1.291,-0.159,0.855,4.619,4.139,3.755
0.8129,1.018,-0.148,9.876,-0.38,-0.21,2.11,-9.34,2.024,-6.262,-27.65,36.16,-6.33,-0.874,0.418,-0.009,-11.497,17.521,4.724,-10.554,17.112,11.497,0.403,-0.0,0.631,-0.228,-0.02,-17.521,-0.809,-0.0,0.483,-1.291,-0.159,0.855,4.619,4.139,3.755
0.8425,-1.537,1.003,9.902,0.14,2.05,-1.04,-4.348,2.562,-11.043,-1.87,-132.93,9.79,-0.498,0.527,0.001,-14.451,17.784,3.776,-13.871,17.217,14.451,0.506,0.0,-2.32,2.827,0.286,-17.784,-0.821,0.0,0.033,-0.854,-0.107,0.45,4.632,4.139,3.755
0.8707,1.245,-0.615,10.455,0.85,-5.09,-1.89,-2.371,2.132,-9.298,28.14,-247.92,1.93,-0.614,0.451,-0.066,-18.197,17.612,2.085,-17.505,17.104,18.197,0.637,-0.0,-4.327,4.964,0.5,-17.612,-0.815,0.0,-0.491,-0.324,-0.043,0.006,4.618,4.139,3.755
0.8993,-0.311,0.268,10.271,-0.62,3.81,1.06,-6.408,1.421,-8.705,31.72,-247.92,1.33,-0.696,0.546,-0.048,-23.576,17.321,0.519,-22.792,16.675,23.576,0.825,0.0,-4.327,5.152,0.52,-17.321,-0.803,-0.0,-0.554,-0.25,-0.034,5.643,4.566,4.139,3.755
0.9282,-1.027,0.204,9.459,0.22,-0.46,-1.28,4.3,2.983,-10.338,38.7,-41.2,-14.13,-0.34,0.562,-0.034,-25.194,16.811,-0.15,-24.765,16.132,25.194,0.882,-0.0,-0.719,1.601,0.166,-16.811,-0.782,0.0,-0.675,-0.107,-0.017,5.402,4.499,4.139,3.755
0.9578,1.539,-0.366,10.463,0.96,-5.63,0.9,-1.81,2.886,-8.216,11.48,180.52,-16.67,-0.696,0.472,-0.064,-21.139,15.933,1.229,-20.36,15.391,21.139,0.74,-0.0,3.151,-2.41,-0.236,-15.933,-0.745,0.0,-0.2,-0.545,-0.07,5.94,4.409,4.139,3.755
1.0177,0.594,-0.012,9.864,-0.12,-2.33,-0.3,-1.82,2.968,-12.271,-48.28,252.35,6.51,-0.632,0.577,-0.057,-16.876,15.999,2.642,-16.161,15.377,16.876,0.591,0.0,4.404,-3.813,-0.377,-15.999,-0.749,-0.0,0.698,-1.447,-0.178,0.17,4.407,4.139,3.755
1.0177,0.594,-0.012,9.864,-0.12,-2.33,-0.3,-1.82,2.968,-12.271,-48.28,252.35,6.51,-0.548,0.592,-0.039,-11.768,16.551,3.925,-11.141,15.933,11.768,0.413,-0.0,4.404,-3.991,-0.396,-16.551,-0.774,-0.0,0.843,-1.617,-0.199,0.783,4.475,4.139,3.755
1.0736,-1.14,0.711,9.828,0.53,-0.54,-2.18,-2.561,2.771,-11.751,4.84,-149.55,13.04,-0.8,0.498,-0.005,-11.239,17.175,4.447,-10.367,16.677,11.239,0.395,0.0,0.214,0.181,0.021,-17.175,-0.803,-0.0,0.614,-1.417,-0.175,0.878,4.566,4.139,3.755
1.1025,1.173,-0.393,10.597,0.72,-3.68,-0.84,-3.34,1.985,-8.599,33.74,-247.69,-0.12,-0.685,0.553,-0.071,-18.089,17.078,1.786,-17.325,16.464,18.089,0.634,-0.0,-4.323,4.957,0.5,-17.078,-0.801,0.0,-0.589,-0.212,-0.031,0.028,4.54,4.139,3.755
1.1025,1.173,-0.393,10.597,0.72,-3.68,-0.84,-3.34,1.985,-8.599,33.74,-247.69,-0.12,-0.685,0.553,-0.071,-18.089,17.078,1.786,-17.325,16.464,18.089,0.634,-0.0,-4.323,4.957,0.5,-17.078,-0.801,0.0,-0.589,-0.212,-0.031,0.028,4.54,4.139,3.755
1.1614,-1.207,-0.026,9.661,0.17,0.51,-1.1,4.857,2.986,-10.258,40.48,-26.61,-15.91,-0.33,0.595,-0.036,-24.844,16.339,-0.335,-24.428,15.625,24.844,0.87,0.0,-0.464,1.334,0.14,-16.339,-0.771,0.0,-0.706,-0.065,-0.013,5.443,4.437,4.139,3.755
1.1614,-1.207,-0.026,9.661,0.17,0.51,-1.1,4.857,2.986,-10.258,40.48,-26.61,-15.91,-0.33,0.595,-0.036,-24.844,16.339,-0.335,-24.428,15.625,24.844,0.87,0.0,-0.464,1.334,0.14,-16.339,-0.771,0.0,-0.706,-0.065,-0.013,5.443,4.437,4.139,3.755
1.2220,-0.618,0.328,9.984,-0.72,4.78,-0.16,-3.672,2.039,-8.514,-43.19,252.35,-2.17,-0.673,0.625,-0.065,-16.48,15.626,2.457,-15.725,14.957,16.48,0.578,0.0,4.404,-3.826,-0.377,-15.626,-0.742,-0.0,0.754,-1.496,-0.185,0.223,4.356,4.139,3.755
1.2220,-0.618,0.328,9.984,-0.72,4.78,-0.16,-3.672,2.039,-8.514,-43.19,252.35,-2.17,-0.673,0.625,-0.065,-16.48,15.626,2.457,-15.725,14.957,16.48,0.578,0.0,4.404,-3.826,-0.377,-15.626,-0.742,-0.0,0.754,-1.496,-0.185,0.223,4.356,4.139,3.755
1.2787,0.22,0.326,10.096,-0.74,3.18,3.27,-9.154,1.389,-5.696,-35.71,-2.52,-6.17,-0.833,0.526,0.002,-11.649,16.953,4.015,-10.744,16.423,11.434,0.402,-0.0,4.404,-4.002,-0.396,-16.283,-0.772,0.0,0.911,-1.683,-0.208,0.824,4.441,4.139,3.755
1.2787,0.22,0.326,10.096,-0.74,3.18,3.27,-9.154,1.389,-5.696,-35.71,-2.52,-6.17,-0.833,0.526,0.002,-11.649,16.953,4.015,-10.744,16.423,11.649,0.41,0.0,-0.044,0.454,0.05,-16.953,-0.802,-0.0,0.623,-1.426,-0.178,0.832,4.535,4.139,3.755
1.3347,1.288,-0.108,10.185,0.62,-3.4,-0.36,-4.371,1.798,-8.084,35.77,-247.92,-0.91,-0.803,0.542,-0.068,-18.679,16.76,1.364,-17.8,16.155,14.505,0.509,-0.0,-2.875,3.384,0.343,-17.13,-0.811,0.0,-0.177,-0.634,-0.083,0.444,4.546,4.139,3.755
1.3347,1.288,-0.108,10.185,0.62,-3.4,-0.36,-4.371,1.798,-8.084,35.77,-247.92,-0.91,-0.803,0.542,-0.068,-18.679,16.76,1.364,-17.8,16.155,18.679,0.655,-0.0,-4.327,4.982,0.504,-16.76,-0.796,0.0,-0.624,-0.172,-0.027,6.253,4.502,4.139,3.755
1.3943,-0.63,-0.266,9.471,0.2,-0.07,-1.17,4.731,3.055,-10.021,40.32,19.75,-18.49,-0.517,0.582,-0.042,-24.704,15.951,-0.511,-24.104,15.252,24.704,0.866,-0.0,0.345,0.521,0.059,-15.951,-0.763,0.0,-0.704,-0.06,-0.014,5.483,4.392,4.139,3.755
1.3943,-0.63,-0.266,9.471,0.2,-0.07,-1.17,4.731,3.055,-10.021,40.32,19.75,-18.49,-0.517,0.582,-0.042,-24.704,15.951,-0.511,-24.104,15.252,24.704,0.866,-0.0,0.345,0.521,0.059,-15.951,-0.763,0.0,-0.704,-0.06,-0.014,5.483,4.392,4.139,3.755
1.4546,-0.455,0.278,9.869,-0.83,5.02,0.09,-3.867,2.018,-8.939,-45.03,252.35,-2.56,-0.798,0.64,-0.065,-16.19,15.338,2.254,-15.313,14.658,16.19,0.569,0.0,4.404,-3.836,-0.377,-15.338,-0.739,-0.0,0.786,-1.525,-0.19,0.274,4.319,4.139,3.755
1.4546,-0.455,0.278,9.869,-0.83,5.02,0.09,-3.867,2.018,-8.939,-45.03,252.35,-2.56,-0.798,0.64,-0.065,-16.19,15.338,2.254,-15.313,14.658,16.19,0.569,0.0,4.404,-3.836,-0.377,-15.338,-0.739,-0.0,0.786,-1.525,-0.19,0.274,4.319,4.139,3.755
1.5117,1.116,0.584,8.499,-0.6,1.71,3.1,-9.313,1.222,-5.567,-36.22,-3.13,-4.15,-0.99,0.565,0.003,-11.582,16.703,3.74,-10.521,16.14,11.582,0.408,0.0,-0.055,0.462,0.051,-16.703,-0.801,-0.0,0.632,-1.433,-0.18,0.859,4.5,4.139,3.755
1.5117,1.116,0.584,8.499,-0.6,1.71,3.1,-9.313,1.222,-5.567,-36.22,-3.13,-4.15,-0.99,0.565,0.003,-11.582,16.703,3.74,-10.521,16.14,11.582,0.408,0.0,-0.055,0.462,0.051,-16.703,-0.801,-0.0,0.632,-1.433,-0.18,0.859,4.5,4.139,3.755
1.5678,1.437,-0.103,10.235,0.57,-2.59,-0.33,-4.762,1.768,-7.827,37.8,-240.71,-2.07,-0.927,0.585,-0.067,-18.476,16.462,1.193,-17.475,15.815,18.476,0.648,-0.0,-4.201,4.85,0.492,-16.462,-0.792,0.0,-0.66,-0.133,-0.024,0.009,4.461,4.139,3.755
1.5678,1.437,-0.103,10.235,0.57,-2.59,-0.33,-4.762,1.768,-7.827,37.8,-240.71,-2.07,-0.927,0.585,-0.067,-18.476,16.462,1.193,-17.475,15.815,18.476,0.648,-0.0,-4.201,4.85,0.492,-16.462,-0.792,0.0,-0.66,-0.133,-0.024,0.009,4.461,4.139,3.755
1.5996,-0.196,-0.347,10.245,-0.63,2.75,1.83,-5.742,1.735,-9.44,28.2,-247.92,1.5,-0.939,0.592,-0.048,-23.806,16.192,-0.252,-22.788,15.49,23.806,0.835,0.0,-4.327,5.162,0.524,-16.192,-0.782,-0.0,-0.492,-0.29,-0.043,5.644,4.421,4.139,3.755
1.6293,-1.025,-0.199,9.404,0.1,0.24,-0.94,4.916,2.878,-9.817,38.59,6.83,-17.58,-0.591,0.593,-0.034,-24.676,15.703,-0.71,-24.005,14.991,24.676,0.865,0.0,0.119,0.746,0.083,-15.703,-0.761,0.0,-0.674,-0.088,-0.019,5.495,4.36,4.139,3.755
1.6540,1.741,-0.5,10.259,1.1,-5.83,0.68,-3.328,2.678,-7.678,9.07,181.57,-11.45,-0.987,0.517,-0.066,-20.795,14.903,0.639,-19.732,14.315,20.795,0.73,-0.0,3.169,-2.439,-0.236,-14.903,-0.728,0.0,-0.158,-0.569,-0.077,6.017,4.277,4.139,3.755
1.6826,-0.73,0.242,10.264,-0.79,5.26,-0.2,-3.334,2.039,-8.672,-44.61,252.35,-0.71,-0.871,0.628,-0.064,-16.262,15.147,1.993,-15.315,14.479,16.262,0.572,0.0,4.404,-3.833,-0.376,-15.147,-0.739,-0.0,0.779,-1.518,-0.191,0.273,4.297,4.139,3.755
1.7147,-0.177,-0.388,10.441,-0.14,-1.28,0.03,-3.072,2.893,-11.62,-54.53,252.35,8.57,-0.697,0.598,-0.042,-11.326,15.861,3.196,-10.559,15.242,11.326,0.399,-0.0,4.404,-4.005,-0.394,-15.861,-0.772,-0.0,0.952,-1.723,-0.216,0.854,4.391,4.139,3.755
1.7418,0.948,0.45,9.12,-0.66,2.16,3.54,-8.978,1.31,-5.571,-34.81,-3.59,-6.83,-1.023,0.527,0.011,-11.818,16.546,3.484,-10.728,16.02,11.818,0.416,0.0,-0.063,0.479,0.054,-16.546,-0.803,-0.0,0.608,-1.41,-0.178,0.834,4.486,4.139,3.755
1.7713,-1.001,-0.132,10.326,0.66,-2.93,-3.69,-1.642,2.916,-12.117,14.17,-168.7,16.52,-0.655,0.56,-0.017,-14.532,16.675,2.405,-13.805,16.072,14.532,0.511,-0.0,-2.944,3.456,0.352,-16.675,-0.809,0.0,-0.247,-0.562,-0.077,0.458,4.492,4.139,3.755
1.8017,1.195,0.12,10.046,0.64,-2.85,0.0,-4.696,1.732,-7.904,35.39,-241.82,-2.58,-0.94,0.556,-0.067,-18.735,16.278,0.958,-17.723,15.657,18.735,0.658,-0.0,-4.221,4.879,0.495,-16.278,-0.793,0.0,-0.618,-0.176,-0.03,6.262,4.441,4.139,3.755
1.8326,-0.268,-0.22,10.25,-0.67,2.56,2.06,-5.371,1.735,-9.626,28.98,-247.92,-0.08,-0.911,0.58,-0.051,-23.974,15.999,-0.456,-22.984,15.306,23.974,0.841,0.0,-4.327,5.168,0.525,-15.999,-0.782,-0.0,-0.506,-0.276,-0.043,5.62,4.398,4.139,3.755
1.8571,-1.233,-0.34,9.692,-0.02,1.13,-0.78,4.511,2.788,-9.703,39.28,18.96,-19.83,-0.535,0.581,-0.035,-24.737,15.446,-0.835,-24.123,14.746,24.737,0.868,0.0,0.331,0.537,0.063,-15.446,-0.759,-0.0,-0.686,-0.074,-0.018,5.48,4.33,4.139,3.755
1.8868,1.664,-0.16,10.06,1.29,-6.46,0.63,-2.758,2.756,-7.722,8.61,178.47,-11.4,-0.846,0.516,-0.066,-20.75,14.681,0.501,-19.828,14.091,20.75,0.729,-0.0,3.115,-2.386,-0.23,-14.681,-0.727,0.0,-0.15,-0.577,-0.079,6.005,4.25,4.139,3.755
1.9154,-0.57,0.237,10.063,-0.86,5.06,-0.47,-3.905,2.077,-8.68,-43.17,252.35,-1.22,-0.81,0.608,-0.064,-16.226,14.937,1.839,-15.342,14.285,16.226,0.571,0.0,4.404,-3.834,-0.375,-14.937,-0.739,-0.0,0.753,-1.492,-0.189,0.27,4.274,4.139,3.755
1.9476,0.589,-0.271,10.159,0.04,-2.7,-0.25,-2.662,2.98,-11.855,-54.49,252.35,9.04,-0.712,0.587,-0.043,-11.202,15.675,3.013,-10.424,15.067,11.202,0.395,-0.0,4.404,-4.009,-0.394,-15.675,-0.772,0.0,0.951,-1.723,-0.217,0.871,4.369,4.139,3.755
1.9739,0.709,0.412,9.268,-0.71,2.66,3.33,-9.09,1.213,-5.422,-37.65,3.14,-5.18,-1.063,0.519,0.006,-11.557,16.39,3.332,-10.429,15.873,11.557,0.408,0.0,0.055,0.353,0.042,-16.39,-0.805,-0.0,0.657,-1.462,-0.186,0.87,4.468,4.139,3.755
2.0059,-0.673,-0.017,9.924,0.7,-3.06,-3.4,-1.487,2.974,-12.264,13.26,-164.63,14.77,-0.726,0.558,-0.02,-14.222,16.543,2.311,-13.426,15.945,14.222,0.501,-0.0,-2.873,3.374,0.345,-16.543,-0.812,0.0,-0.231,-0.581,-0.08,0.504,4.477,4.139,3.755
2.0602,-0.153,-0.227,10.156,-0.63,2.41,1.67,-6.153,1.842,-9.931,26.58,-247.92,1.08,-1.03,0.573,-0.052,-23.487,15.823,-0.449,-22.38,15.141,18.131,0.637,-0.0,-3.914,4.551,0.464,-16.08,-0.793,0.0,-0.661,-0.132,-0.026,0.062,4.418,4.139,3.755
2.0602,-0.153,-0.227,10.156,-0.63,2.41,1.67,-6.153,1.842,-9.931,26.58,-247.92,1.08,-1.03,0.573,-0.052,-23.487,15.823,-0.449,-22.38,15.141,23.487,0.824,0.0,-4.327,5.151,0.525,-15.823,-0.783,-0.0,-0.464,-0.319,-0.049,5.693,4.378,4.139,3.755
2.0890,-1.262,-0.098,9.541,0.04,1.44,-0.06,4.684,2.8,-9.4,38.27,-27.83,-17.37,-0.668,0.575,-0.029,-24.778,15.376,-1.011,-24.033,14.68,24.778,0.87,0.0,-0.486,1.355,0.146,-15.376,-0.765,0.0,-0.668,-0.097,-0.022,5.491,4.322,4.139,3.755
2.1474,-0.292,0.577,10.029,-0.76,4.55,-0.44,-3.625,2.031,-7.851,-41.66,252.35,-1.49,-0.94,0.632,-0.066,-16.791,14.787,1.562,-15.778,14.109,16.791,0.591,0.0,4.404,-3.813,-0.372,-14.787,-0.741,-0.0,0.727,-1.468,-0.187,0.217,4.252,4.139,3.755
2.1474,-0.292,0.577,10.029,-0.76,4.55,-0.44,-3.625,2.031,-7.851,-41.66,252.35,-1.49,-0.94,0.632,-0.066,-16.791,14.787,1.562,-15.778,14.109,16.791,0.591,0.0,4.404,-3.813,-0.372,-14.787,-0.741,-0.0,0.727,-1.468,-0.187,0.217,4.252,4.139,3.755
2.2069,0.091,0.204,9.859,-0.77,3.1,3.54,-8.654,1.35,-5.616,-38.87,13.37,-6.74,-1.003,0.56,-0.005,-11.344,16.231,3.216,-10.276,15.667,11.344,0.401,0.0,0.233,0.168,0.025,-16.231,-0.806,-0.0,0.678,-1.485,-0.19,0.889,4.443,4.139,3.755
2.2069,0.091,0.204,9.859,-0.77,3.1,3.54,-8.654,1.35,-5.616,-38.87,13.37,-6.74,-1.003,0.56,-0.005,-11.344,16.231,3.216,-10.276,15.667,11.344,0.401,0.0,0.233,0.168,0.025,-16.231,-0.806,-0.0,0.678,-1.485,-0.19,0.889,4.443,4.139,3.755
2.2342,-1.429,0.464,10.151,0.59,-0.64,-2.71,-3.021,2.885,-11.914,9.45,-148.54,13.86,-0.563,0.624,-0.02,-14.146,16.408,2.311,-13.511,15.736,14.146,0.499,-0.0,-2.592,3.091,0.318,-16.408,-0.815,0.0,-0.165,-0.65,-0.09,0.494,4.451,4.139,3.755
2.2663,1.398,-0.151,10.324,0.87,-4.51,-0.67,-2.972,1.946,-8.199,37.19,-216.2,-0.95,-0.869,0.577,-0.077,-17.672,15.99,0.945,-16.733,15.349,17.672,0.622,-0.0,-3.773,4.395,0.449,-15.99,-0.798,0.0,-0.649,-0.149,-0.03,0.1,4.404,4.139,3.755
2.3232,-1.657,-0.048,9.895,-0.28,3.04,0.54,4.152,2.74,-8.987,38.38,-66.01,-15.41,-0.465,0.651,-0.038,-24.916,15.276,-1.102,-24.373,14.498,23.066,0.81,0.0,-4.327,5.137,0.524,-15.688,-0.786,-0.0,-0.471,-0.315,-0.05,5.723,4.355,4.139,3.755
2.3232,-1.657,-0.048,9.895,-0.28,3.04,0.54,4.152,2.74,-8.987,38.38,-66.01,-15.41,-0.465,0.651,-0.038,-24.916,15.276,-1.102,-24.373,14.498,24.916,0.875,0.0,-1.152,2.027,0.214,-15.276,-0.769,-0.0,-0.67,-0.099,-0.024,5.45,4.3,4.139,3.755
